Date,Close
7/26/2013,78.00
7/29/2013,77.99
7/30/2013,77.89
7/31/2013,77.94
8/1/2013,78.22
8/2/2013,78.75
8/5/2013,78.77
8/6/2013,77.87
8/7/2013,77.37
8/8/2013,77.25
8/9/2013,76.90
8/12/2013,77.08
8/13/2013,76.86
8/14/2013,76.40
8/15/2013,74.41
8/16/2013,74.11
8/19/2013,73.58
8/20/2013,73.23
8/21/2013,73.55
8/22/2013,73.46
8/23/2013,73.44
8/26/2013,73.03
8/27/2013,72.86
8/28/2013,72.38
8/29/2013,72.43
8/30/2013,72.98
9/3/2013,72.68
9/4/2013,72.91
9/5/2013,72.67
9/6/2013,72.59
9/9/2013,73.51
9/10/2013,73.96
9/11/2013,74.05
9/12/2013,73.91
9/13/2013,74.36
9/16/2013,74.78
9/17/2013,75.15
9/18/2013,76.42
9/19/2013,76.21
9/20/2013,75.83
9/23/2013,76.42
9/24/2013,75.75
9/25/2013,74.65
9/26/2013,74.62
9/27/2013,74.36
9/30/2013,73.96
10/1/2013,73.59
10/2/2013,73.72
10/3/2013,73.16
10/4/2013,72.80
10/7/2013,71.87
10/8/2013,72.90
10/9/2013,73.00
10/10/2013,74.79
10/11/2013,74.82
10/14/2013,74.68
10/15/2013,74.37
10/16/2013,75.60
10/17/2013,75.78
10/18/2013,75.71
10/21/2013,75.15
10/22/2013,76.32
10/23/2013,75.90
10/24/2013,76.42
10/25/2013,76.08
10/28/2013,77.14
10/29/2013,77.06
10/30/2013,76.91
10/31/2013,76.75
11/1/2013,77.07
11/4/2013,77.33
11/5/2013,77.42
11/6/2013,78.16
11/7/2013,77.51
11/8/2013,77.96
11/11/2013,79.01
11/12/2013,78.71
11/13/2013,78.90
11/14/2013,79.08
11/15/2013,79.22
11/18/2013,79.22
11/19/2013,79.25
11/20/2013,78.90
11/21/2013,78.86
11/22/2013,79.81
11/25/2013,80.43
11/26/2013,80.68
11/27/2013,80.93
11/29/2013,81.01
12/2/2013,81.11
12/3/2013,81.21
12/4/2013,80.22
12/5/2013,79.44
12/6/2013,79.94
12/9/2013,79.95
12/10/2013,79.08
12/11/2013,79.09
12/12/2013,78.50
12/13/2013,78.08
12/16/2013,77.74
12/17/2013,77.25
12/18/2013,77.94
12/19/2013,77.24
12/20/2013,77.43
12/23/2013,77.87
12/24/2013,78.01
12/26/2013,78.39
12/27/2013,78.47
12/30/2013,78.63
12/31/2013,78.69
1/2/2014,78.91
1/3/2014,78.65
1/6/2014,78.21
1/7/2014,78.45
1/8/2014,77.83
1/9/2014,78.09
1/10/2014,78.04
1/13/2014,77.49
1/14/2014,77.96
1/15/2014,77.66
1/16/2014,76.76
1/17/2014,76.19
1/21/2014,75.84
1/22/2014,75.35
1/23/2014,74.96
1/24/2014,74.42
1/27/2014,74.15
1/28/2014,74.67
1/29/2014,74.10
1/30/2014,74.75
1/31/2014,74.68
2/3/2014,72.66
2/4/2014,72.73
2/5/2014,72.87
2/6/2014,72.82
2/7/2014,73.75
2/10/2014,73.76
